time,P_t,sentiment_z,LLM_Sentiment_buy,LLM_Sentiment_sell,xgb_pred_change,XGBoost_buy,XGBoost_sell,gbm_pred_change,GBM_buy,GBM_sell,arima_pred_change,ARIMA_buy,ARIMA_sell,prophet_pred,prophet_lower,prophet_upper,Prophet_buy,Prophet_sell,rf_pred_change,RandomForest_buy,RandomForest_sell,lgbm_pred_change,LightGBM_buy,LightGBM_sell,svr_pred_change,SVR_buy,SVR_sell,rnn_pred_change,LSTM_GRU_buy,LSTM_GRU_sell,tcn_pred_change,TCN_buy,TCN_sell,bull_count,predicted_return,SMA_20,ensemble_signal,ensemble_buy,ensemble_sell,position,entry_price,entry_index,days_held,cumulative_return,stop_loss_triggered,time_stop_triggered
2025-01-01,94383.59,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,94383.59,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-02,96903.19,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,96903.19,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-03,98136.51,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,98136.51,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-04,98209.85,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,98209.85,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-05,98345.33,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,98345.33,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-06,102279.41,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,102279.41,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-07,96941.98,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,96941.98,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-08,95036.63,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,95036.63,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-09,92547.44,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,92547.44,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-10,94701.18,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,94701.18,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-11,94565.02,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,94565.02,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-12,94509.62,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,94509.62,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-13,94506.45,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,94506.45,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-14,96534.96,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,96534.96,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-15,100510.23,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,100510.23,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-16,99981.78,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,99981.78,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-17,104107.0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,104107.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-18,104435.0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,104435.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-19,101211.13,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,101211.13,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-20,102145.43,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,102145.43,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-21,106159.26,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,106159.26,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-22,103667.11,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,103667.11,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-23,103926.36,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,103926.36,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-24,104850.27,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,104850.27,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-25,104733.56,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,104733.56,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-26,102563.0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,102563.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-27,102062.42,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,102062.42,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-28,101290.0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,101290.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-29,103747.25,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,103747.25,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-30,104742.64,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,104742.64,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-01-31,102411.26,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,102411.26,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-01,100623.85,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,100623.85,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-02,97676.52,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,97676.52,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-03,101460.2,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,101460.2,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-04,97795.05,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,97795.05,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-05,96638.33,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,96638.33,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-06,96564.62,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,96564.62,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-07,96537.08,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,96537.08,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-08,96476.25,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,96476.25,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-09,96475.82,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,96475.82,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-10,97444.41,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,97444.41,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
2025-02-11,95774.08,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,95774.08,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,,-1,0,0.0,False,False
