time,P_t,sentiment_z,LLM_Sentiment_buy,LLM_Sentiment_sell,xgb_pred_change,XGBoost_buy,XGBoost_sell,gbm_pred_change,GBM_buy,GBM_sell,arima_pred_change,ARIMA_buy,ARIMA_sell,prophet_pred_change,prophet_pred,prophet_lower,prophet_upper,Prophet_buy,Prophet_sell,rf_pred_change,RandomForest_buy,RandomForest_sell,lgbm_pred_change,LightGBM_buy,LightGBM_sell,svr_pred_change,SVR_buy,SVR_sell,rnn_pred_change,LSTM_GRU_buy,LSTM_GRU_sell,tcn_pred_change,TCN_buy,TCN_sell,bull_count,predicted_return,SMA_20,active_models,confidence,confidence_bucket,ensemble_signal,ensemble_buy,ensemble_sell,position,entry_price,entry_index,days_held,cumulative_return,stop_loss_triggered,time_stop_triggered
2024-05-08,2972.82,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2972.82,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3300.654,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-09,3035.92,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3035.92,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3344.0119999999997,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-10,2909.43,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2909.43,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3380.3214999999996,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-11,2911.75,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2911.75,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3422.186999999999,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-12,2927.75,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2927.75,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3464.5215,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-13,2950.21,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2950.21,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3508.7579999999994,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-14,2880.4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2880.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3550.1915,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-15,3033.2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3033.2,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3594.4759999999997,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-16,2945.11,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2945.11,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3633.3305,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
2024-05-17,3093.39,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3093.39,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,3679.403499999999,8,16.7,LOW,0,0,0,0,,-1,0,0.0,False,False
