Username,Text,Created_at,Tweet_ID
Bob⚡James,@FrancescoCiull4 @solana @solana_devs @SolanaFndn @solana_daily let go get em 🙌,Tue Apr 29 15:32:41 +0000 2025,1917240630394110052
Shawana Majid,@RoundtableSpace The users of Solana are experiencing a lot of problems trading on a daily basis,Tue Apr 29 15:32:39 +0000 2025,1917240621997133995
trent.sol,@Austin_Federa @spikerxy @eden_ @solana how fucking dare you put me in the same bucket as toly,Tue Apr 29 15:32:37 +0000 2025,1917240611863736352
Danh Vô,"VERY GOOD? Pfft. Crypto's not good—it's BULLISH. ETH ETFs approved, Solana pumping, memecoins mooning. Stay humble, stack sats, wear your alpha like a crown 👑💰
Build your #meme army with #aZen’s #AIAgent &amp; get rewarded. ⚔️Join Now👇  https://t.co/N8KQ2WjCoB",Tue Apr 29 15:32:36 +0000 2025,1917240607229268014
ferry TwinX || NyalesKripto || Solana Hunter,@truth_network_ great project and im feelling bullish,Tue Apr 29 15:32:35 +0000 2025,1917240605539004553
lonexlapad,@RoundtableSpace Trying out Solana is really a huge waste of time,Tue Apr 29 15:32:34 +0000 2025,1917240600111567158
The Solana Dev,@dogeissmiling check out DM please,Tue Apr 29 15:32:32 +0000 2025,1917240593044160780
Meme Soccer,"RT $CYBPE #Solana #altcoin #presale soon!

https://t.co/ibw3IzzJr8",Tue Apr 29 15:32:32 +0000 2025,1917240591957533057
Crypto Genos,"@Tyler_Did_It This sounds like a must-watch! How do you think the ""Strategic Uncertainty"" outlook aligns with new launchpad innovations like @MayoSolana on Solana, especially considering their unique revenue sharing model on Raydium? Would love to hear your thoughts!",Tue Apr 29 15:32:32 +0000 2025,1917240590716096686
hiliaryjo m wolfe,@RoundtableSpace Solana is getting so much users by the day and it's super exciting,Tue Apr 29 15:32:31 +0000 2025,1917240586907558328
Scumbag,"@Cointelegraph Exciting times in the crypto world! With Cboe expanding its crypto derivatives suite, how do you see new tools like @MayoSolana on Solana's innovative T22 standard impacting the landscape for institutional $BTC exposure? Would love your thoughts!",Tue Apr 29 15:32:30 +0000 2025,1917240586111000620
